province,census_division_name,city,odhf_facility_type,facilities
on,Nipissing,kapuskasing,Ambulatory health care services,1
mb,Division No.  1,whitemouth,Nursing and residential care facilities,1
bc,Kitimat-Stikine,terrace,Hospitals,1
on,Haldimand-Norfolk,simcoe,Hospitals,1
qc,Francheville,trois-rivières,Hospitals,5
on,Simcoe,creemore,Nursing and residential care facilities,1
qc,Le Val-Saint-François,windsor,Hospitals,1
on,Algoma,cutler,Ambulatory health care services,2
qc,Sept-Rivières--Caniapiscau,uashat,Nursing and residential care facilities,2
on,Thunder Bay,nipigon,Ambulatory health care services,1
ab,Division No. 10,lamont,Hospitals,1
on,Perth,brunner,Nursing and residential care facilities,1
nb,Kings,hampton,Nursing and residential care facilities,1
qc,Rouville,richelieu,Ambulatory health care services,2
qc,Nord-du-Québec,kangiqsualujjuaq,Ambulatory health care services,1
ns,Halifax,cole harbour,Nursing and residential care facilities,1
bc,Okanagan-Similkameen,summerland,Ambulatory health care services,2
sk,Unknown,nipawin,Nursing and residential care facilities,1
ns,Cumberland,amherst,Hospitals,1
qc,Le Haut-Saint-Laurent,ormstown,Ambulatory health care services,1
qc,L'Assomption,l'épiphanie,Ambulatory health care services,1
qc,Arthabaska,victoriaville,Hospitals,1
on,Huron,zurich,Nursing and residential care facilities,1
mb,Division No. 21,the pas,Hospitals,1
on,Cochrane,iroquois falls,Ambulatory health care services,1
sk,Division No.  9,preeceville,Nursing and residential care facilities,1
sk,Unknown,canora,Nursing and residential care facilities,1
on,Frontenac,kingston,Nursing and residential care facilities,14
nl,Division No.  7,badgers quay,Hospitals,1
qc,L'Assomption,repentigny,Ambulatory health care services,5
bc,Greater Vancouver,port coquitlam,Nursing and residential care facilities,10
nb,Kings,quispamsis,Nursing and residential care facilities,2
bc,Fraser Valley,abbotsford,Nursing and residential care facilities,38
mb,Division No.  3,carman,Hospitals,1
bc,Unknown,abbotsford,Nursing and residential care facilities,1
qc,Mékinac,saint-tite,Ambulatory health care services,2
bc,Strathcona,campbell river,Hospitals,1
on,Lanark,perth,Nursing and residential care facilities,4
qc,Nord-du-Québec,kangirsuk,Ambulatory health care services,1
on,Simcoe,penetanguishene,Nursing and residential care facilities,8
ns,Guysborough,sherbrooke,Nursing and residential care facilities,1
qc,Le Granit,lac-mégantic,Hospitals,2
